D1,,REGION NAME:,
D3,,MCH LIST No.,
D4,,NAME OF MCH,
I7,12.1a,ANTE NATAL CARE,ANC 1st visit,
I8,12.1b,ANTE NATAL CARE,ANC 2nd visit,
I9,12.1c,ANTE NATAL CARE,ANC 3rd + visit,
I10,12.1d,ANTE NATAL CARE,MMN,
I11,12.1e,ANTE NATAL CARE,IPT 1st dose,
I12,12.1f,ANTE NATAL CARE,IPT 2nd dose,
I13,12.1g,ANTE NATAL CARE,Syphilis positive,
I14,12.1h,ANTE NATAL CARE,Haemoglobin level <10,
I15,12.1i,ANTE NATAL CARE,Iron Folate as treatment for anaemia,
I17,12.2j,DELIVERIES,Number of Normal Deliveries,Home
I18,12.2j,DELIVERIES,Number of Normal Deliveries,MCH
I19,12.2k,DELIVERIES,Number of Complicated Deliveries,Home
I20,12.2k,DELIVERIES,Number of Complicated Deliveries,MCH
I21,12.2l,DELIVERIES,Number of Deliveries Referred Out,
I22,12.2m,DELIVERIES,Early initiation of breastfeeding (within 1 hr),
I24,12.3n,POST NATAL CARE,Total No. of PNC visits,
I25,12.3o,POST NATAL CARE,Vitamin A,
I26,12.3p,POST NATAL CARE,Haemoglobin level <10,
I27,12.3q,POST NATAL CARE,Iron Folate as treatment for anaemia,
I28,12.3q,POST NATAL CARE,Iron Folate as treatment for anaemia,
I30,13a,PMTCT,HIV Counselled at ANC,
I31,13b,PMTCT,HIV Tested at ANC,
I32,13c,PMTCT,HIV + at ANC,
I33,13d,PMTCT,Prophylaxis given for ANC client,
I34,13e,PMTCT,Prophylaxis at ANC given for baby,
I35,13f,PMTCT,HIV Counselled at delivery,
I36,13g,PMTCT,HIV Tested at delivery,
I37,13h,PMTCT,HIV+ at Delivery,
I38,13i,PMTCT,Mothers given prophylaxis at delivery,
I39,13j,PMTCT,Newborn given prophylaxis at delivery,
I40,13j,PMTCT,Newborn given prophylaxis at delivery,
I42,14a,Family Planning,Women using FP method,
