1,REGION NAME:,
3,MCH LIST No.,
4,NAME OF MCH,
6,4.1,OUTPATIENT - CURATIVE SERVICES,No. of OPD patients Under 5 years,Females
7,4.1,OUTPATIENT - CURATIVE SERVICES,No. of OPD patients Under 5 years,Males
8,4.1,OUTPATIENT - CURATIVE SERVICES,No. of OPD patients Under 5 years,TOTAL
9,4.2,OUTPATIENT - CURATIVE SERVICES,No. of OPD patients Over 5 years,Females
10,4.2,OUTPATIENT - CURATIVE SERVICES,No. of OPD patients Over 5 years,Males
11,4.2,OUTPATIENT - CURATIVE SERVICES,No. of OPD patients Over 5 years,TOTAL
13,4.3.1,DIAGNOSIS / SYMPTOM,Uncomplicated Malaria - Unconfirmed (clinical diagnosis),Under 5yrs
14,4.3.1,DIAGNOSIS / SYMPTOM,Uncomplicated Malaria - Unconfirmed (clinical diagnosis),Over 5yrs
15,4.3.2,DIAGNOSIS / SYMPTOM,Uncomplicated Malaria - (confirmed by RDT/ Slide),Under 5yrs
16,4.3.2,DIAGNOSIS / SYMPTOM,Uncomplicated Malaria - (confirmed by RDT/ Slide),Over 5yrs
17,4.3.3,DIAGNOSIS / SYMPTOM,Severe Malaria,Under 5yrs
18,4.3.3,DIAGNOSIS / SYMPTOM,Severe Malaria,Over 5yrs
19,4.3.4,DIAGNOSIS / SYMPTOM,ARI (excluding Pneumonia),Under 5yrs
20,4.3.4,DIAGNOSIS / SYMPTOM,ARI (excluding Pneumonia),Over 5yrs
21,4.3.5,DIAGNOSIS / SYMPTOM,Pneumonia,Under 5yrs
22,4.3.5,DIAGNOSIS / SYMPTOM,Pneumonia,Over 5yrs
23,4.3.6,DIAGNOSIS / SYMPTOM,Measles,Under 5yrs
24,4.3.6,DIAGNOSIS / SYMPTOM,Measles,Over 5yrs
25,4.3.7,DIAGNOSIS / SYMPTOM,Acute Watery Diarrhoea,Under 5yrs
26,4.3.7,DIAGNOSIS / SYMPTOM,Acute Watery Diarrhoea,Over 5yrs
27,4.3.8,DIAGNOSIS / SYMPTOM,Bloody Diarrhoea,Under 5yrs
28,4.3.8,DIAGNOSIS / SYMPTOM,Bloody Diarrhoea,Over 5yrs
29,4.3.9,DIAGNOSIS / SYMPTOM,Anaemia,Under 5yrs
30,4.3.9,DIAGNOSIS / SYMPTOM,Anaemia,Over 5yrs
31,4.3.10,DIAGNOSIS / SYMPTOM,Mental Illnesses,Under 5yrs
32,4.3.10,DIAGNOSIS / SYMPTOM,Mental Illnesses,Over 5yrs
33,4.3.11,DIAGNOSIS / SYMPTOM,Fever of Unknown Origin (PUO),Under 5yrs
34,4.3.11,DIAGNOSIS / SYMPTOM,Fever of Unknown Origin (PUO),Over 5yrs
35,4.3.12,DIAGNOSIS / SYMPTOM,Obstetric Complication of pregnancy or delivery,Over 5yrs
36,4.3.13,DIAGNOSIS / SYMPTOM,Suspected TB,Under 5yrs
37,4.3.13,DIAGNOSIS / SYMPTOM,Suspected TB,Over 5yrs
38,4.3.14,DIAGNOSIS / SYMPTOM,STI,Under 5yrs
39,4.3.14,DIAGNOSIS / SYMPTOM,STI,Over 5yrs
40,4.3.15,DIAGNOSIS / SYMPTOM, UTI,Under 5yrs
41,4.3.15,DIAGNOSIS / SYMPTOM, UTI,Over 5yrs
42,4.3.16,DIAGNOSIS / SYMPTOM,Skin Diseases,Under 5yrs
43,4.3.16,DIAGNOSIS / SYMPTOM,Skin Diseases,Over 5yrs
44,4.3.17,DIAGNOSIS / SYMPTOM,Eye Infections,Under 5yrs
45,4.3.17,DIAGNOSIS / SYMPTOM,Eye Infections,Over 5yrs
46,4.3.18,DIAGNOSIS / SYMPTOM,Trauma and Burns,Under 5yrs
47,4.3.18,DIAGNOSIS / SYMPTOM,Trauma and Burns,Over 5yrs
48,4.3.19,DIAGNOSIS / SYMPTOM,Bites,Under 5yrs
49,4.3.19,DIAGNOSIS / SYMPTOM,Bites,Over 5yrs
50,4.3.20,DIAGNOSIS / SYMPTOM,Others,Under 5yrs
51,4.3.20,DIAGNOSIS / SYMPTOM,Others,Over 5yrs
